ANO,UF,MUNICIPIO,NOME_MUNICIPIO,COD_ESCOLA,NOME_ESCOLA,REDE,IDEB,NIVEL
2019,BA,2927408,Salvador,29182077,EE - COLEGIO ESTADUAL ALIPIO FRANCA,Estadual,2.9,EM
2019,BA,2927408,Salvador,29182085,EE - COLEGIO ESTADUAL ALVARO AUGUSTO DA SILVA - CLASSE V,Estadual,NA,EM
2019,BA,2927408,Salvador,29182093,EE - COLEGIO ESTADUAL AZEVEDO FERNANDES,Estadual,NA,EM
2019,BA,2927408,Salvador,29182107,EE - COLEGIO ESTADUAL CARNEIRO RIBEIRO FILHO,Estadual,NA,EM
2019,BA,2927408,Salvador,29182115,EE - COLEGIO DA POLICIA MILITAR- CPM DONA LEONOR CALMON,Estadual,NA,EM
2019,BA,2927408,Salvador,29182123,EE - COLEGIO ESTADUAL DA BAHIA CENTRAL,Estadual,3.4,EM
2019,BA,2927408,Salvador,29182131,EE - COLEGIO ESTADUAL DEPUTADO MANOEL NOVAES,Estadual,NA,EM
2019,BA,2927408,Salvador,29182158,EE - COLEGIO ESTADUAL EVARISTO DA VEIGA - TEMPO INTEGRAL,Estadual,NA,EM
2019,BA,2927408,Salvador,29182166,EE - COLEGIO ESTADUAL GOES CALMON,Estadual,NA,EM
2019,BA,2927408,Salvador,29182174,EE - COLEGIO ESTADUAL HELENA MATHEUS,Estadual,3.5,EM
2019,BA,2927408,Salvador,29182182,EE - COLEGIO ESTADUAL YPIRANGA - TEMPO INTEGRAL,Estadual,4.4,EM
2019,BA,2927408,Salvador,29182190,EE - COLEGIO DA POLICIA MILITAR - CPM JOAO FLORENCIO GOMES,Estadual,4.7,EM
2019,BA,2927408,Salvador,29182204,EE - COLEGIO ESTADUAL MARQUES DE MARICA - TEMPO INTEGRAL,Estadual,3.9,EM
